30September2010POMEROY5	EARL_POMEROY_29384	leaders moving plans generation unmanned aerial vehicles uav recently signing record rod plans result 2005 realignment closure brac process step mission plan begin uavs joint excited start phase begin progress future missions status hub generation uavs signing rod begin personnel planning implement 2005 brac establish uav mission plans establishment training devils transition arrival departure corridors brac plan called types uavs launched recovered global hawk predator initially global flown active pilots predators wing guard predator global hawk military widely uavs high flying global hawk reconnaissance live video battlefield commanders ground predator smaller reconnaissance carry ground missiles begun implement plans station substantial uavs strategic importance maintaining
17December2010REICHERT1	DAVE_REICHERT_20536	supporting compromise prevent massive increase businesses struggle recession ends reach deeper pockets travel consistent theme businesses generators 80 percent certainty certainty uncle future certainty plan future investments hire buy equipment pursue dream avoiding hike businesses businesses certainty plan future certainty plan cost higher children buy manage making ends basic proposal extends deduction sales taxes fought hard bring needed relief taxpayer states compromise isn perfect compromise rarely shouldn barrier practical difficult job creators proposal
22June2010KAPTUR19	MARCIA_KAPTUR_15029	coverage prescription drugs medicare promise seniors live basic peace mind care coverage count affordable care strengthens promise seniors donut hole coverage gap 2010 250 rebate 250 checks mailed earlier approximately weeks ahead checks mailed monthly medicare beneficiaries enter coverage gap payment beginning 2011 50 discount prescription drugs donut hole 2020 donut hole completely closed care guaranteed medicare benefits seniors earned change medicare medicare advantage eligibility change medicare cover costs stronger financial footing moving primary care physicians increase seniors care questions
29January2010GORDON57	BART_GORDON_15100	24 grant 24 loan recovery fiber optic broadband macon sumner broadband access absolutely essential fostering growth creating monumental project solid attract committed making plugged opportunities broadband access dollar invested broadband receives ten fold investment scale deployment advanced fiber optic cable impact estimated 000 business 15 000 homes historically underserved challenging terrain expanded access business schools hospitals project begin simultaneously macon sumner telephone cooperative locally owned operated cooperative special foster relationships bring users fold cooperative hopes classes expanded outreach familiarize users personal business tool cooperative seeking locally headquartered lay required 000 miles fiber optic cable ceo afforded fiber optic sitting cookeville project supportive customers advantage broadband develop economic opportunities future championed project expressing utility administrators responsible grant selection process awarded grant competitive process recovery reinvestment recovery billion bring broadband served underserved recovery passed
19June2010POMEROY90	EARL_POMEROY_29384	proposed rule level playing fairness livestock producers usda recently grain inspection administration publish proposed rule 22 2010 meaningful defenses farmers ranchers unfair practices livestock markets rule 2008 farm rule remove existing regulations smaller producers compete larger level playing specific provisions producers increase fairness transparency pricing marketing agreements identify practices unfair unjustly discriminatory deceptive actions define undue unreasonable preferences advantages establish improved process producers settle legal disputes livestock producers unfair practices market barriers joint usda proposed increase opportunities reduce unjust practices producers livestock producers positive step cattle markets spent legislative career champion initiatives farmers key player crafting recent version farm key player crafting recent version farm
16July2010EDWARDS24	CHET_EDWARDS_29144	fiscal 2011 military veterans headquarters mclennan army guard 143rd airborne infantry battalion facility mclennan airborne infantry battalion unanimously military veterans chairs specifically planning design facility 143rd consists personnel special forces company stationed headquarters army guard locations facility 20 guard approached locating battalion mclennan thrilled leaders reality hundreds troops coming mclennan train guard headquarters boost economic importantly guard headquarters mclennan play vital supporting forces afghanistan iraq protecting army guard excited develop airborne infantry battalion establish class facility serve emergency 2011 military veterans totals 77 billion discretionary spending 2011 serve women veterans continues advance medical accounts 50 billion 2012 highest priority veterans groups 2011 70 percent increase veterans care benefits 2007 advanced dependable veterans care 10 000 claims processors reduce backlogs 389 doctors 14 316 nurses 145 based outpatient clinics 92 vet centers 47 000 veterans administration employees honor veterans troops military continues historic veterans military sends clear
20December2010MALONEY1	CAROLYN_MALONEY_29379	authors zadroga 11 compensation mayor leaders 11 responders urge finally zadroga remarks remarks mayor 20 2010 mayor zadroga inviting zadroga closer law thing clear graveyard widely fighting ink dry signature introduced original versions zadroga dedication partner mayor zadroga absolute warriors thousands 11 heroes survivors incredibly tremendous build hard paying dividends path victory fear opponents run clock leadership delay votes play games remember vow takes recover 11 vote 60 hours debate thing season gift holiday season helping save lives aid war obama desk
4May2010LINDER12	JOHN_LINDER_29341	hearing recently analysis care law centers medicare medicaid cms cms law opposite promised cutting spending cms estimates law increase care spending 311 billion ten cms estimated roughly 14 americans lose employer care coverage breaking comment encourage cms accompanying clicking republicans waysandmeans social security income security social security met joint hearing social security administration disability insurance backlog learned making strides reducing backlog individuals delay acceptance disability insurance files opening hearing military res 1304 honoring 48th infantry brigade combat team fellow sponsor res 1304 honors accomplishments sacrifices 48th infantry brigade combat team army guard recently returned rejoin deployment afghanistan applaud military women hard successfully complete missions overseas files res 1251 honoring americans fought marks 66th anniversary largest naval invasion history 150 000 allied troops 31 000 americans landed 60 mile stretch heavily french coastline fight germany beaches normandy france called operation accept full victory 000 13 000 invasion end allies gained foot normandy cost high 000 allied soldiers killed wounded 100 000 soldiers europe defeat hitler accounts turning war honor event sponsored res 1251 recognizes 66th anniversary honors troops gave lives expresses gratitude greatest generation soldiers fought files add sponsor res 18 expresses sense united states abandon china favor realistic china taiwan recognizes taiwan sovereignty calls diplomatic relations supports full participation international require recognized statehood membership roughly chinese identified party mainland china taiwan functioning sovereign principles elections basic economic personal freedoms disregarded mainland china taiwan defend
5February2010TIBERI52	PATRICK_TIBERI_20130	request earmarks fiscal 2011 higher uniform standard requests implemented bridges explained requests leads conflict pork legitimate project oppose lack earmarking standards earmarking process poster child fiscal irresponsibility trillion dollar deficit budget highest shortfall process fix broken system tackle difficult decisions massive debt passing children grandchildren fixing unsustainable programs medicare social security
19May2010BOEHNER138	JOHN_BOEHNER_29137	youngstown stimulus unemployment 15 percent stimulus unemployment 15 percent demonstrates touch democrats harsh realities facing hardship thing mahoning killing agenda making matters worse obama moving full speed ahead implement care law result higher costs class businesses common sense solutions tackle challenges facing republicans republicans presented obama cost plan focused helping businesses put put strategy establish cleaner reliable future plan
